,Average AUC,Average CA,Average AUC Features,DT AUC,DT CA,DT AUC Features,RFW AUC,RFW CA,RFW AUC Features
112,0.9423076923076924,0.8166666666666667,"nof_acetyl, nof_COOH, nof_NH2, nof_SH, nof_negCharge, nof_HBA, molLogP",0.9230769230769232,0.7625,"nof_COOH, nof_SO3H, C_sp3, a_heavy, nof_negCharge, nof_posCharge, nof_Chirals",1.0,0.8708333333333333,"nof_COOH, nof_SO3H, posCharge/Volume, nof_negCharge, nof_HBA, molArea, molLogP"
267,0.9230769230769232,0.7979166666666666,"nof_COOH, negCharge/Volume, posCharge/Volume, nof_posCharge, nof_HBA, nof_Chirals, molLogS",0.9230769230769232,0.7458333333333333,"nof_acetyl, nof_SH, C_sp3, a_heavy, nof_negCharge, nof_Rings, molLogP",1.0,0.85,"nof_COOH, nof_SH, nof_SO3H, nof_PO4, a_heavy, nof_HBA, molArea"
33,0.9423076923076924,0.7854166666666667,"nof_COOH, nof_SO3H, nof_PO4, nof_HBA, nof_Chirals, PSA/Area, molLogP",0.9230769230769232,0.7458333333333333,"nof_SO3H, nof_PO4, C_sp3, a_heavy, nof_negCharge, nof_Rings, nof_Chirals",1.0,0.825,"nof_COOH, a_heavy, nof_negCharge, nof_HBD, nof_HBA, nof_Chirals, molArea"
252,0.9230769230769232,0.7770833333333333,"nof_COOH, negCharge/Volume, nof_negCharge, nof_HBD, PSA/Area, molArea, molLogP",0.9230769230769232,0.7291666666666667,"nof_acetyl, nof_RotB, C_sp3, a_heavy, nof_negCharge, nof_Rings, nof_Chirals",1.0,0.825,"nof_COOH, nof_SH, nof_SO3H, posCharge/Volume, a_heavy, nof_HBA, molArea"
298,0.9230769230769232,0.7729166666666667,"nof_COOH, nof_PO4, negCharge/Volume, C_R1, nof_negCharge, nof_Chirals, molLogP",0.9230769230769232,0.7125,"nof_acetyl, nof_COOH, nof_RotB, C_sp3, a_heavy, nof_negCharge, nof_Chirals",1.0,0.8333333333333334,"nof_COOH, nof_NH2, nof_PO4, negCharge/Volume, posCharge/Volume, nof_HBA, PSA/Area"
126,0.9230769230769232,0.7729166666666667,"negCharge/Volume, nof_negCharge, nof_posCharge, nof_Chirals, PSA/Area, molArea, molLogP",0.9230769230769232,0.825,"nof_COOH, nof_SH, C_sp3, a_heavy, nof_negCharge, nof_posCharge, molLogP",1.0,0.7208333333333333,"nof_COOH, nof_SO3H, negCharge/Volume, nof_negCharge, nof_HBD, nof_HBA, molLogP"
242,0.9230769230769232,0.7729166666666667,"nof_COOH, posCharge/Volume, a_heavy, nof_negCharge, PSA/Area, molArea, molLogP",0.9230769230769232,0.7291666666666666,"nof_OH, nof_COOH, nof_SH, C_R1, nof_HBA, PSA/Area, molLogP",1.0,0.8166666666666668,"nof_COOH, nof_SH, nof_SO3H, nof_negCharge, nof_Rings, nof_HBA, molArea"
150,0.9230769230769232,0.7708333333333334,"nof_SO3H, negCharge/Volume, a_heavy, nof_negCharge, nof_Rings, nof_HBA, nof_Chirals",0.9230769230769232,0.6958333333333333,"nof_COOH, nof_NH2, C_sp3, a_heavy, nof_negCharge, nof_Chirals, PSA/Area",1.0,0.8458333333333334,"nof_COOH, nof_SO3H, nof_PO4, a_heavy, nof_Rings, nof_HBA, molArea"
,Average AUC,Average CA,Average AUC Features,DT AUC,DT CA,DT AUC Features,RFW AUC,RFW CA,RFW AUC Features
112,0.9423076923076924,0.8166666666666667,"nof_acetyl, nof_COOH, nof_NH2, nof_SH, nof_negCharge, nof_HBA, molLogP",0.9230769230769232,0.7625,"nof_COOH, nof_SO3H, C_sp3, a_heavy, nof_negCharge, nof_posCharge, nof_Chirals",1.0,0.8708333333333333,"nof_COOH, nof_SO3H, posCharge/Volume, nof_negCharge, nof_HBA, molArea, molLogP"
267,0.9230769230769232,0.7979166666666666,"nof_COOH, negCharge/Volume, posCharge/Volume, nof_posCharge, nof_HBA, nof_Chirals, molLogS",0.9230769230769232,0.7458333333333333,"nof_acetyl, nof_SH, C_sp3, a_heavy, nof_negCharge, nof_Rings, molLogP",1.0,0.85,"nof_COOH, nof_SH, nof_SO3H, nof_PO4, a_heavy, nof_HBA, molArea"
150,0.9230769230769232,0.7708333333333334,"nof_SO3H, negCharge/Volume, a_heavy, nof_negCharge, nof_Rings, nof_HBA, nof_Chirals",0.9230769230769232,0.6958333333333333,"nof_COOH, nof_NH2, C_sp3, a_heavy, nof_negCharge, nof_Chirals, PSA/Area",1.0,0.8458333333333334,"nof_COOH, nof_SO3H, nof_PO4, a_heavy, nof_Rings, nof_HBA, molArea"
262,0.9230769230769232,0.7229166666666667,"nof_COOH, negCharge/Volume, C_R1, a_heavy, nof_negCharge, nof_HBD, nof_HBA",0.9230769230769232,0.6041666666666666,"nof_acetyl, nof_SO3H, negCharge/Volume, posCharge/Volume, C_R1, nof_HBA, molLogS",1.0,0.8416666666666668,"nof_COOH, nof_SH, nof_SO3H, nof_PO4, nof_Rings, nof_HBA, molArea"
298,0.9230769230769232,0.7729166666666667,"nof_COOH, nof_PO4, negCharge/Volume, C_R1, nof_negCharge, nof_Chirals, molLogP",0.9230769230769232,0.7125,"nof_acetyl, nof_COOH, nof_RotB, C_sp3, a_heavy, nof_negCharge, nof_Chirals",1.0,0.8333333333333334,"nof_COOH, nof_NH2, nof_PO4, negCharge/Volume, posCharge/Volume, nof_HBA, PSA/Area"
179,0.9230769230769232,0.7458333333333333,"nof_SH, nof_PO4, posCharge/Volume, a_heavy, nof_negCharge, nof_Rings, nof_HBA",0.9230769230769232,0.6583333333333333,"nof_COOH, nof_NH2, nof_SH, nof_SO3H, nof_PO4, nof_HBA, molLogP",1.0,0.8333333333333333,"nof_COOH, nof_SH, a_heavy, nof_negCharge, nof_Rings, nof_HBA, molArea"
170,0.9230769230769232,0.7270833333333333,"nof_SH, negCharge/Volume, posCharge/Volume, a_heavy, nof_negCharge, nof_HBA, nof_Chirals",0.9230769230769232,0.625,"nof_COOH, nof_NH2, nof_SH, nof_negCharge, nof_HBD, nof_HBA, molLogP",1.0,0.8291666666666666,"nof_COOH, nof_SH, nof_negCharge, nof_HBD, nof_HBA, molArea, molLogP"
252,0.9230769230769232,0.7770833333333333,"nof_COOH, negCharge/Volume, nof_negCharge, nof_HBD, PSA/Area, molArea, molLogP",0.9230769230769232,0.7291666666666667,"nof_acetyl, nof_RotB, C_sp3, a_heavy, nof_negCharge, nof_Rings, nof_Chirals",1.0,0.825,"nof_COOH, nof_SH, nof_SO3H, posCharge/Volume, a_heavy, nof_HBA, molArea"
250,0.9230769230769232,0.6916666666666667,"nof_COOH, negCharge/Volume, nof_posCharge, nof_HBA, nof_Chirals, PSA/Area, molLogP",0.9230769230769232,0.5583333333333333,"nof_acetyl, negCharge/Volume, posCharge/Volume, nof_posCharge, nof_HBA, molLogS, molLogP",1.0,0.825,"nof_COOH, nof_SH, nof_SO3H, posCharge/Volume, nof_Rings, nof_HBA, molArea"
213,0.9230769230769232,0.70625,"nof_NH2, nof_SO3H, posCharge/Volume, a_heavy, nof_negCharge, nof_HBA, nof_Chirals",0.9230769230769232,0.5875,"nof_OH, nof_SH, nof_posCharge, nof_HBA, nof_Chirals, PSA/Area, molLogP",1.0,0.825,"nof_COOH, nof_SH, nof_PO4, nof_negCharge, nof_Rings, nof_HBA, molArea"
33,0.9423076923076924,0.7854166666666667,"nof_COOH, nof_SO3H, nof_PO4, nof_HBA, nof_Chirals, PSA/Area, molLogP",0.9230769230769232,0.7458333333333333,"nof_SO3H, nof_PO4, C_sp3, a_heavy, nof_negCharge, nof_Rings, nof_Chirals",1.0,0.825,"nof_COOH, a_heavy, nof_negCharge, nof_HBD, nof_HBA, nof_Chirals, molArea"
239,0.9230769230769232,0.6958333333333333,"nof_COOH, posCharge/Volume, nof_negCharge, nof_HBA, nof_Chirals, molLogS, molLogP",0.9230769230769232,0.5708333333333332,"nof_OH, nof_COOH, negCharge/Volume, posCharge/Volume, nof_Rings, nof_HBA, molLogS",1.0,0.8208333333333334,"nof_COOH, nof_SH, nof_SO3H, nof_negCharge, nof_HBA, molArea, molLogP"
79,0.9423076923076924,0.7104166666666666,"nof_OH, nof_COOH, nof_SH, negCharge/Volume, nof_negCharge, nof_HBA, PSA/Area",0.9230769230769232,0.6,"nof_COOH, nof_posCharge, nof_HBD, nof_HBA, nof_Chirals, PSA/Area, molLogP",1.0,0.8208333333333332,"nof_COOH, nof_PO4, posCharge/Volume, a_heavy, nof_Rings, nof_HBA, molArea"
242,0.9230769230769232,0.7729166666666667,"nof_COOH, posCharge/Volume, a_heavy, nof_negCharge, PSA/Area, molArea, molLogP",0.9230769230769232,0.7291666666666666,"nof_OH, nof_COOH, nof_SH, C_R1, nof_HBA, PSA/Area, molLogP",1.0,0.8166666666666668,"nof_COOH, nof_SH, nof_SO3H, nof_negCharge, nof_Rings, nof_HBA, molArea"
5,0.9615384615384616,0.7229166666666667,"nof_COOH, nof_SH, nof_SO3H, nof_PO4, nof_HBD, nof_HBA, molLogP",0.9230769230769232,0.6291666666666667,"posCharge/Volume, C_sp3, nof_negCharge, nof_HBA, nof_Chirals, molLogS, molLogP",1.0,0.8166666666666667,"nof_SO3H, a_heavy, nof_negCharge, nof_Rings, nof_HBA, nof_Chirals, molArea"
144,0.9230769230769232,0.7291666666666667,"nof_PO4, negCharge/Volume, posCharge/Volume, nof_negCharge, nof_HBA, molLogS, molLogP",0.9230769230769232,0.6416666666666667,"nof_COOH, nof_SH, nof_SO3H, negCharge/Volume, posCharge/Volume, nof_HBA, molLogS",1.0,0.8166666666666667,"nof_COOH, nof_SO3H, nof_PO4, nof_HBD, nof_HBA, nof_Chirals, molLogP"
146,0.9230769230769232,0.7395833333333333,"nof_PO4, nof_RotB, negCharge/Volume, C_R1, nof_HBA, nof_Chirals, molLogP",0.9230769230769232,0.6625,"nof_COOH, nof_SH, nof_SO3H, nof_PO4, nof_posCharge, nof_HBA, molLogP",1.0,0.8166666666666667,"nof_COOH, nof_SO3H, nof_PO4, nof_negCharge, nof_HBA, molArea, molLogP"
16,0.9423076923076924,0.66875,"nof_NH2, nof_SO3H, nof_PO4, nof_negCharge, nof_HBD, nof_HBA, molLogP",0.9230769230769232,0.5291666666666667,"nof_PO4, negCharge/Volume, posCharge/Volume, nof_Rings, nof_HBA, molLogS, molLogP",1.0,0.8083333333333333,"nof_SH, nof_PO4, posCharge/Volume, nof_negCharge, nof_Rings, nof_HBA, molArea"
40,0.9423076923076924,0.7208333333333332,"nof_COOH, nof_SH, negCharge/Volume, C_R1, nof_HBA, PSA/Area, molLogP",0.9230769230769232,0.6333333333333333,"nof_SH, negCharge/Volume, posCharge/Volume, nof_Rings, nof_HBA, molLogS, molLogP",1.0,0.8083333333333332,"nof_COOH, posCharge/Volume, nof_negCharge, nof_Rings, nof_HBA, molArea, molLogP"
75,0.9423076923076924,0.6666666666666666,"nof_OH, nof_COOH, nof_SO3H, nof_negCharge, nof_posCharge, nof_HBA, molLogP",0.9230769230769232,0.525,"nof_NH2, nof_SH, nof_PO4, negCharge/Volume, posCharge/Volume, nof_HBA, molLogS",1.0,0.8083333333333332,"nof_COOH, nof_PO4, posCharge/Volume, nof_HBD, nof_HBA, nof_Chirals, molLogP"
,Average AUC,Average CA,Average AUC Features,DT AUC,DT CA,DT AUC Features,RFW AUC,RFW CA,RFW AUC Features
126,0.9230769230769232,0.7729166666666667,"negCharge/Volume, nof_negCharge, nof_posCharge, nof_Chirals, PSA/Area, molArea, molLogP",0.9230769230769232,0.825,"nof_COOH, nof_SH, C_sp3, a_heavy, nof_negCharge, nof_posCharge, molLogP",1.0,0.7208333333333333,"nof_COOH, nof_SO3H, negCharge/Volume, nof_negCharge, nof_HBD, nof_HBA, molLogP"
142,0.9230769230769232,0.7395833333333333,"nof_PO4, negCharge/Volume, C_R1, a_heavy, nof_negCharge, nof_posCharge, nof_HBA",0.9230769230769232,0.7916666666666667,"nof_COOH, nof_SH, nof_SO3H, C_sp3, a_heavy, nof_negCharge, nof_Chirals",1.0,0.6874999999999999,"nof_COOH, nof_SO3H, nof_RotB, nof_negCharge, nof_posCharge, nof_HBA, molArea"
32,0.9423076923076924,0.7166666666666667,"nof_COOH, nof_SO3H, negCharge/Volume, C_R1, nof_HBA, PSA/Area, molLogP",0.9230769230769232,0.7916666666666667,"nof_SO3H, nof_PO4, C_sp3, a_heavy, nof_negCharge, nof_Chirals, molLogP",1.0,0.6416666666666666,"nof_NH2, nof_SH, nof_PO4, negCharge/Volume, nof_negCharge, nof_HBA, PSA/Area"
53,0.9423076923076924,0.7291666666666666,"nof_COOH, nof_NH2, nof_SO3H, nof_negCharge, nof_posCharge, nof_HBA, molLogP",0.9230769230769232,0.775,"nof_SH, nof_SO3H, C_sp3, a_heavy, nof_negCharge, nof_posCharge, nof_Chirals",1.0,0.6833333333333332,"nof_COOH, negCharge/Volume, posCharge/Volume, nof_negCharge, nof_HBA, nof_Chirals, molLogP"
273,0.9230769230769232,0.7375,"nof_COOH, nof_PO4, a_heavy, nof_negCharge, nof_Rings, nof_HBD, nof_HBA",0.9230769230769232,0.7666666666666667,"nof_acetyl, nof_SH, nof_SO3H, C_sp3, a_heavy, nof_negCharge, nof_Chirals",1.0,0.7083333333333333,"nof_COOH, nof_SH, nof_SO3H, nof_PO4, negCharge/Volume, nof_HBA, PSA/Area"
160,0.9230769230769232,0.7416666666666667,"nof_SO3H, nof_PO4, negCharge/Volume, posCharge/Volume, C_R1, nof_HBA, molLogS",0.9230769230769232,0.7666666666666666,"nof_COOH, nof_NH2, nof_PO4, C_sp3, a_heavy, nof_negCharge, nof_Chirals",1.0,0.7166666666666667,"nof_COOH, nof_SO3H, nof_PO4, posCharge/Volume, C_R1, nof_HBA, molLogP"
112,0.9423076923076924,0.8166666666666667,"nof_acetyl, nof_COOH, nof_NH2, nof_SH, nof_negCharge, nof_HBA, molLogP",0.9230769230769232,0.7625,"nof_COOH, nof_SO3H, C_sp3, a_heavy, nof_negCharge, nof_posCharge, nof_Chirals",1.0,0.8708333333333333,"nof_COOH, nof_SO3H, posCharge/Volume, nof_negCharge, nof_HBA, molArea, molLogP"
253,0.9230769230769232,0.7166666666666666,"nof_COOH, negCharge/Volume, a_heavy, nof_posCharge, PSA/Area, molArea, molLogP",0.9230769230769232,0.7583333333333333,"nof_acetyl, nof_RotB, negCharge/Volume, C_R1, nof_HBA, nof_Chirals, molLogP",1.0,0.6749999999999999,"nof_COOH, nof_SH, nof_SO3H, negCharge/Volume, nof_posCharge, nof_HBA, molLogP"
